,Title,Published_date,Views,Likes,Favourites,Comments,Month,Year
0,"Playoff Talk with Abby Chin, Austin Kent and Brandon Sowle PLUS THE WHEEL!!",2022-05-02,1655,53,0,6,May,2022
1,Behind the Moments With Orlando Magic Rookie Jalen Suggs,2022-04-26,496,26,0,3,Apr,2022
2,"Meet Mark, one of 8 lucky collectors who went All-Access last weekend, and this is why he collects",2022-04-25,234,22,0,1,Apr,2022
3,"NBA Top Shot 101 - Starting an Account, Opening your first Pack & Completing your first challenge",2022-04-20,448796,149,0,32,Apr,2022
4,THE WHEEL IS BACK - Flash Challenge: 2022 NBA Playoffs,2022-04-15,970,27,0,4,Apr,2022
5,THE WHEEL - Weekend Flash Challenge: Season End,2022-04-08,986,31,0,19,Apr,2022
6,Team Hold In The Queue Show!,2022-04-08,287,24,0,0,Apr,2022
7,THE FUTURE OF BEING AN NBA FAN IS HERE FOR THE PLAYOFFS!,2022-04-06,1582,51,0,8,Apr,2022
8,LIVE QUEUE SHOW for EXTRA SPICE PACK DROP! The Spiciest NBA Highlights Come To Top Shot Today!,2022-03-31,581,37,0,0,Mar,2022
9,The Wheel Livestream: Rookie Rotation,2022-03-28,1915,45,0,1,Mar,2022
10,"Throwdowns Series 3 Priority Queue #1 hosted by @rukizzel , @Yourboyeddie and @ShadyG",2022-03-25,333,15,0,0,Mar,2022
11,Throwdowns Series 3 Priority Queue #1 hosted by Club Top Shot,2022-03-25,406,28,0,0,Mar,2022
12,FULL Recording Of CEO Roham Gharegozlou's Twitter Spaces AMA,2022-03-21,1068,31,0,8,Mar,2022
13,"Standard Pack Drop ($14) Queue Live Stream hosted by @rukizzel, @yourboyeddie and @ShadyG",2022-03-18,188,4,0,0,Mar,2022
14,"Standard Pack Drop (Trade Tickets) Queue Live Stream hosted by @rukizzel, @yourboyeddie and @ShadyG",2022-03-18,183,12,0,0,Mar,2022
15,Elite Pack Pack Drop Live Stream hosted by Skeets and Trey (Trade Tickets only),2022-03-18,326,12,0,2,Mar,2022
